Lines,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,SPAD2,SPAD2_Date,ST,StPu,StPi,Kinki,Prolif,NBR
B73,6/29/23,6/29/23,187,58,2,8.9,59.4,13.3,66.5,7/19/23,39.5,8/2/23,N,N,N,,,2
B73,7/2/23,6/30/23,179,69,2,7.3,57.9,13.2,57.8,7/19/23,32.2,8/5/23,N,N,N,,,1
B73,7/3/23,7/1/23,184,64,2,8,59.2,13.2,53.6,7/19/23,34.4,8/5/23,N,N,N,,,2
B73,6/29/23,6/28/23,186,60,2,9.5,66.3,13,63.9,7/19/23,48.3,8/2/23,N,N,N,,,1
B73,7/1/23,6/29/23,187,67,3,8.7,59.5,13.2,61.1,7/19/23,45.3,8/3/23,N,N,N,,,1
B73,7/3/23,7/2/23,153,45,2,6.8,53.7,11,43.2,7/19/23,25.7,8/5/23,N,N,N,,,2
B73,7/2/23,6/30/23,183,65,2,7.8,54,13.4,59.5,7/19/23,33.4,8/5/23,N,N,N,,,2
B73,7/2/23,6/30/23,186,65,2,8.2,62.2,13.2,65.2,7/19/23,29.5,8/5/23,N,N,N,,,2
B73,7/3/23,7/2/23,181,56,2,6.6,54.2,13.8,55.7,7/19/23,20.4,8/5/23,N,N,N,,,1
B73,7/4/23,6/30/23,173,70,4,6.8,52.6,14.2,51.6,7/19/23,25,8/7/23,N,N,N,,,2
B73,7/3/23,7/2/23,177,59,2,7.2,54,13.2,59,7/19/23,45.1,8/5/23,N,N,N,,,1
B73,7/1/23,7/1/23,189,80,2,7.2,54.4,13.6,61.6,7/19/23,38.6,8/3/23,N,N,N,,,3
B73,7/3/23,7/2/23,183,56,2,8.4,52.5,13.4,52.4,7/19/23,31.8,8/5/23,N,N,N,,,1
B73,7/1/23,6/30/23,183,64,2,7.2,46.2,13.6,58.4,7/19/23,38.6,8/3/23,N,N,N,,,1
B73,7/3/23,6/30/23,175,48,2,7.4,63,13.6,52,7/19/23,22.2,8/5/23,N,N,N,,,2
B73,7/3/23,7/2/23,168,54,2,7.8,56.4,12.2,58.8,7/19/23,42.6,8/5/23,N,N,N,,,1
B73,7/3/23,7/1/23,181,65,2,7.2,58.8,13.4,58,7/19/23,25.1,8/5/23,N,N,N,,,1
B73,7/2/23,7/1/23,179,75,2,6.8,52.8,13.6,48.5,7/19/23,38.7,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,173,55,2,7.4,58.2,13.2,51.9,7/19/23,17.8,8/5/23,N,N,N,,,2
B73,7/2/23,6/30/23,181,65,2,7.2,53,13.8,51.8,7/19/23,30.4,8/5/23,N,N,N,,,1
B73,7/2/23,6/30/23,195,65,2,8.7,70,13.5,49,7/19/23,39.2,8/5/23,N,N,N,,,2
B73,6/30/23,6/29/23,183,53,2,9.6,60.2,14.2,58.6,7/19/23,45.9,8/3/23,N,N,N,,,3
B73,7/5/23,7/3/23,155,45,2,6.7,53.5,11.7,46.7,7/19/23,30.5,8/9/23,N,N,N,,,1
B73,7/2/23,6/28/23,175,64,2,7.3,55.3,13,60.8,7/19/23,34.7,8/5/23,N,N,N,,,2
B73,7/2/23,6/29/23,178,54,2,8.2,59.5,13.4,63.5,7/19/23,37.9,8/5/23,N,N,N,,,2
B73,7/3/23,6/30/23,179,67,2,8,56.7,13.3,64,7/19/23,43.9,8/5/23,N,N,N,,,2
B73,7/2/23,6/30/23,189,67,2,7.4,61,12.6,61.1,7/19/23,49.5,8/5/23,N,N,N,,,1
B73,7/5/23,7/3/23,171,48,2,8.2,60.4,13,50.9,7/19/23,18.9,8/9/23,N,N,N,,,2
B73,7/3/23,6/30/23,186,60,2,7.7,56.1,13.5,56.3,7/19/23,41.2,8/5/23,N,N,N,,,1
B73,7/5/23,7/3/23,163,47,2,7.1,51.5,11.7,51.8,7/19/23,39.2,8/9/23,N,N,N,,,2
B73,7/1/23,6/26/23,181,53,1,7.9,61.9,13.5,44.9,7/19/23,33.9,8/3/23,N,N,N,,,1
B73,7/3/23,6/29/23,176,55,2,8.2,68.7,13.6,55,7/19/23,25.5,8/5/23,N,N,N,,,1
B73,7/3/23,7/1/23,177,55,3,9.4,62.6,13.2,58.1,7/19/23,44.6,8/5/23,N,N,N,,,2
B73,7/1/23,6/29/23,187,70,3,7.7,67.5,13,59,7/19/23,38.7,8/3/23,N,N,N,,,1
B73,6/26/23,6/26/23,186,74,2,8.2,64.4,13,59.6,7/19/23,37,7/31/23,N,N,N,,,1
B73,6/30/23,6/30/23,183,61,2,8.2,65.6,13.1,61,7/19/23,38.2,8/3/23,N,N,N,,,2
B73,7/3/23,7/3/23,168,35,2,8.2,57.8,12.1,63.6,7/19/23,48.9,8/5/23,N,N,N,,,1
B73,7/6/23,7/5/23,186,60,2,8,61,12.6,64.6,7/19/23,47.8,8/10/23,N,N,N,,,2
